sample_id,speaker_name,reference_text,prediction_text,cer
train-00000-of-00232_000069,Danil,су который минус четыре минус четыре плюс в по основанию,у которой минус 4 минус 4 плюс b по основанию,0.319149
train-00000-of-00232_000070,Danil,а хотя бы не надо будет единиц измерения менять,хотя бы не надо будет единиц измерения менять,0.025641
train-00000-of-00232_000071,Danil,я могу поменять все знаки,не могу поменять все знаки,0.095238
train-00000-of-00232_000072,Danil,и по игреку то же самое игрековые координаты начала и координаты вектора это разности иксовые координаты это,и по y тоже самое yкородинаты начала и координаты вектора – это разности xкородината – это,0.293478
train-00000-of-00232_000073,Danil,это у нас будет сто четыре плюс сто двадцать семь с половиной,это у нас будет 104 плюс 1275,0.680000
train-00000-of-00232_000074,Danil,пятьсот двадцать восемь километров он стал проезжать на одном баке на улучшенном бензине,528 километров он стал прожить на одном баке на улучшенном бензине то есть,0.394737
train-00000-of-00232_000075,Danil,четыре целых одна десятая умножить на десять это,41 умножить на 10 это,0.682927
train-00000-of-00232_000076,Danil,а еще нам надо будет найти синус угла противоположного к стороне вс то есть угла а,а еще нам надо будет найти синус угла противоположного к стороне бц то есть угла п,0.044776
train-00000-of-00232_000077,Danil,сумма корней вот она минус а в квадрате это а в квадрате,сумма коронневодона минус а в квадрате это а в квадрате,0.088889
train-00000-of-00232_000078,Danil,складываем получается семь потом ноль потом два пять и ноль впереди,складываем получается 7 потом 0 потом 2 5 и 0 впереди,0.333333
train-00000-of-00232_000079,Danil,то есть изменение произошло на минус один,то есть изменение произошло на минус один,0.000000
train-00000-of-00232_000080,Danil,мы должны делимое умножить на число обратное делителю,мы должны делимое умножить на число обратной делителю,0.021739
train-00000-of-00232_000081,Danil,так что даже тем кто сдает огэ,так что даже тем кто сдает углы,0.125000
train-00000-of-00232_000082,Danil,то есть два корня из икс равно трем,то есть два корни языка все равно трем,0.214286
train-00000-of-00232_000083,Danil,итак во первых десятилетняя девочка,итак вопервых десятилетняя девочка,0.000000
train-00000-of-00232_000084,Danil,тридцать первого декабря две тысячи шестнадцатого,31 декабря 2016,0.840909
train-00000-of-00232_000085,Danil,четырехтонных имеется в виду,штрюктомных медсведу,0.480000
train-00000-of-00232_000086,Danil,свое движение раньше на семь часов тридцать минут,свое движение раньше на 7 часов 30 минут,0.285714
train-00000-of-00232_000087,Danil,таким образом время туда это путь,таким образом время туда – это путь,0.035714
train-00000-of-00232_000088,Danil,здесь синус и здесь тогда не ту формулу надо было выбирать у меня вот этот косинус я тут сверху,здесь синус и здесь тогда не ту формулу надо было выбирать у меня вот этот косянс я тут сверху,0.025974
train-00000-of-00232_000089,Danil,и значит длина отрезка ас это и есть расстояние от данной точки до прямой вс,и значит длина от резкого с это и есть расстояние от данной точки до прямой бс,0.064516
train-00000-of-00232_000090,Danil,от перемены они не зависят,от перемены они не зависят,0.000000
train-00000-of-00232_000091,Danil,с каких задач второй части начинать готовиться,с какие задачи вторую часть начинать готовиться посмотрим,0.350000
train-00000-of-00232_000092,Danil,а снимать чтобы заодно и стрим провести и поснимать что то,а снимать чтобы за одной,0.604167
train-00000-of-00232_000093,Danil,мы будем делить числитель на знаменатель до третьего знака,мы будем делить числитель на знаменатель до третьего знака,0.000000
train-00000-of-00232_000094,Danil,домножим его на два чтобы из вас будет а в четыре у равно девяти,домножим его на 2 чтобы из вас будет a4y равно 9,0.352941
train-00000-of-00232_000095,Danil,пересекает продолжение ц д за точку д в точке н,пересекает продолжение цд за точку d точке n,0.078947
train-00000-of-00232_000096,Danil,то есть цели в градусах уже редко будут навстречаться углой,то есть или в градус углы,0.640000
train-00000-of-00232_000097,Danil,так ну если здесь,так ну если здесь,0.000000
train-00000-of-00232_000098,Danil,а и один делить на а,а и один делик на а,0.133333
train-00000-of-00232_000099,Danil,четыре седьмых умножить на двадцать один,4 седьмых умножить на 21,0.514286
