sample_id,speaker_name,reference_text,prediction_text,cer
train-00000-of-00232_000022,Danil,в трапеции авцд известно что ав равно цд,в трапеции а известно что ав равно,0.151515
train-00000-of-00232_000023,Danil,значит корни т это минусы,значит корни т это минусы,0.000000
train-00000-of-00232_000024,Danil,может быть их вообще нет,может быть их вообще нет,0.000000
train-00000-of-00232_000025,Danil,модуль а то есть мы берем и симметрично отражаем относительно нуля откладываем такой же по длине отрезок только уже,модуль а то есть мы берем и симметрично отражаем относительно нуля откладываем такой же по длине отрезок только уже,0.000000
train-00000-of-00232_000026,Danil,курса вконтактесейчас перед вами группа вконтакте ссылка на нее также есть в описании к видео,курса вконтакте сейчас перед вами группа вконтакте ссылка на нее также есть в описании к видео и,0.012658
train-00000-of-00232_000027,Danil,так что три пятых шесть десятых то есть ноль целых шесть десятых,так что ребята шесть,0.716981
train-00000-of-00232_000028,Danil,вам просто так поставят,он просто так поставит,0.200000
train-00000-of-00232_000029,Danil,то есть это двадцать семь ста тысячных,то двадцать семь сто тысячных,0.250000
train-00000-of-00232_000030,Danil,восемь на тридцать пять и разделить на семь то есть сорок это вообще меньше семнадцать мы не берем потому что это тридцать шесть пополам,восемь на тридцать пять и разделить на семь то есть сорок это вообще меситься мы не берем потому что это тридцать шесть пополам,0.115044
train-00000-of-00232_000031,Danil,сколько изделий при таких условиях может изготовить завод за смену,сколько зделий при таких условиях может изготовить завод за смену,0.017544
train-00000-of-00232_000032,Danil,то есть формулу а в степени н в степени к,формула а в степени в степени к,0.250000
train-00000-of-00232_000033,Danil,девять в степени синус икс равно тройку я представлю как девять в степени одна вторая,девять степени синус икс равно тройку я представлю как девять степени один два,0.112676
train-00000-of-00232_000034,Danil,то шесть тридцать шесть плюс два тридцать восемь,тридцать шесть два тридцать восемь,0.268293
train-00000-of-00232_000035,Danil,больше им равно чем ноль,больше равно чем ноль,0.100000
train-00000-of-00232_000036,Danil,то есть ничего не остается кроме как пункт один,то ничего не остается кроме как от,0.307692
train-00000-of-00232_000037,Danil,вот здесь было такое уравнение,вот здесь было такое уравнение,0.000000
train-00000-of-00232_000038,Danil,тут будет девять четвертых умножить на р в квадрате умножить на двадцать,тут будет девять четыре умножить на пример в квадрате умножить на двадцать,0.163934
train-00000-of-00232_000039,Danil,восемь минус три это уже пять третьих,три тоже пять третьих,0.419355
train-00000-of-00232_000040,Danil,минус семь и семь,семь и семь,0.357143
train-00000-of-00232_000041,Danil,эта сторона относится к этой,страна относится к этой,0.208333
train-00000-of-00232_000042,Danil,я для тех кто сейчас подключился еще раз скажу что,я для тех кто сейчас подключился еще раз скажу что,0.000000
train-00000-of-00232_000043,Danil,то тогда опять же задавайте его в комментариях в соответствующий,то тогда опять же задавайте его в комментария соответствующе,0.072727
train-00000-of-00232_000044,Danil,что мы не увидим,что мы не увидим егольник,0.615385
train-00000-of-00232_000045,Danil,остается но я это поставлю на первое место потому что тогда это слагаемое будет с плюсом,остается но я это поставлю на первое место потому что тогда эти слагаемые будет с плюсом,0.027397
train-00000-of-00232_000046,Danil,ей мы сопоставим число ноль,ей мы сопоставим число ноль,0.000000
train-00000-of-00232_000047,Danil,этот сто пятьдесят тридцать плюс сто пятьдесят сто восемьдесят,сто пятьдесят тридцать сто пятьдесят сто в,0.333333
train-00000-of-00232_000048,Danil,давайте стало сколько стало при двух тысячах,стало сколько стало при две тысячи,0.289474
train-00000-of-00232_000049,Danil,шестьдесят шестьпериметр прямоугольной трапеции описанной около окружности равен двадцать дваее большая боковая сторона равна семьнайти радиус окружностину во первых,шестьдесят шесть периметр прямоугольной трапеции описанный около окружности равен двадцать два ее больше боковая сторона равна семь найти радиус окружности ну во первых,0.020408
train-00000-of-00232_000050,Danil,по второму уравнению логарифм одного по основанию а этот логарифм,уравнение логарифм одно,0.642857
train-00000-of-00232_000051,Danil,ладно давайте посмотрим что там у вас за вопросы,ладно давай то там а ос,0.550000
train-00000-of-00232_000052,Danil,ладно давайте решим наконец двадцатую задачу,ладно давайте решим наконец двадцатую задачу,0.000000
train-00000-of-00232_000053,Danil,разумеется так получается неправильный ответ,разумеется так получается неправильный ответ,0.000000
train-00000-of-00232_000054,Danil,и такая же сзади тоже двадцать пять на два вот,и так же сзади тоже двадцать пять на два вот задние,0.216216
train-00000-of-00232_000055,Danil,оно составляет сто процентов от самого себя,оно составляет сто,0.567568
train-00000-of-00232_000056,Danil,надо найти наименьшую температуру за двадцать девятое мая,надо найти наименьшую температуру за двадцать девятое мая,0.000000
train-00000-of-00232_000057,Danil,здесь это не пригодится но вообще бывают задачи когда,здесь это не пригодится но вообще бывают задачи когда,0.000000
train-00000-of-00232_000058,Danil,так что среднее время которое он тратит на дорогу на работу тридцать семь минут,так что среднее время которое он тратит на дорогу на работу тридцать семь минут,0.000000
train-00000-of-00232_000059,Danil,значит одна третья умножить на авс,одна треть умножить на а с,0.275862
train-00000-of-00232_000060,Danil,что иван и игорь оказались в разных группах,в и оказались в разы руах,0.444444
train-00000-of-00232_000061,Danil,если бы мы решали уравнение где вот эта знаменательная,если мы решали уравнение где вот это знает,0.260870
train-00000-of-00232_000062,Danil,тут все задачи генерируются автоматически можно сколько угодно раз нажимать аналогично и получать такую же задачу только с другими числами,задачи генерируются автоматически можно сколько угодно раз нажимать аналогично и получать такую же задачу только с другими числами,0.050420
train-00000-of-00232_000063,Danil,равен сумме двух внутренних углов а и в не смежных с ним,равен сумме двух внутренних углов не смежных с ним,0.066667
train-00000-of-00232_000064,Danil,а ее длина равна двадцать километров пятьсот метров,длина равна двадцать км пятьсот метров,0.250000
train-00000-of-00232_000065,Danil,пять на три на пять,пять на три на пять,0.000000
train-00000-of-00232_000066,Danil,то есть минус пять икс равно минус пятнадцать ну и теперь,минус пять равно минус пятнадцать ну и т,0.297872
train-00000-of-00232_000067,Danil,больше всего занимает место вот этот сектор в клеточку,больше всего занимает место вот этот сектор клеточка,0.043478
train-00000-of-00232_000068,Danil,тоже можем подписать что это сила в тоннах силы,тоже можем подписать что это сила в тоннах силы,0.000000
train-00000-of-00232_000069,Danil,су который минус четыре минус четыре плюс в по основанию,который минус четыре минус четыре плюс по основанию,0.063830
train-00000-of-00232_000070,Danil,а хотя бы не надо будет единиц измерения менять,хотя бы не надо будет единица измерения менять,0.051282
train-00000-of-00232_000071,Danil,я могу поменять все знаки,не могу поменять все знаки,0.095238
train-00000-of-00232_000072,Danil,и по игреку то же самое игрековые координаты начала и координаты вектора это разности иксовые координаты это,по то же самое координаты начала и координаты вектора это разность иксовые координаты это,0.184783
train-00000-of-00232_000073,Danil,это у нас будет сто четыре плюс сто двадцать семь с половиной,это у нас будет сто четыре плюс сто двадцать семь с половиной,0.000000
train-00000-of-00232_000074,Danil,пятьсот двадцать восемь километров он стал проезжать на одном баке на улучшенном бензине,пятьсот двадцать восемь километров он стал проезжать на одном баке на улучшенном бензине то есть,0.078947
train-00000-of-00232_000075,Danil,четыре целых одна десятая умножить на десять это,четыре целых одна десятая умножить на десять это,0.000000
train-00000-of-00232_000076,Danil,а еще нам надо будет найти синус угла противоположного к стороне вс то есть угла а,а еще нам надо будет найти синус угла противоположного к стороне то есть угла,0.044776
train-00000-of-00232_000077,Danil,сумма корней вот она минус а в квадрате это а в квадрате,сумма корни вот она минус а в квадрате это а в квадрате,0.044444
train-00000-of-00232_000078,Danil,складываем получается семь потом ноль потом два пять и ноль впереди,складываем получается семь потом ноль потом два пять и ноль впереди,0.000000
train-00000-of-00232_000079,Danil,то есть изменение произошло на минус один,то есть изменение произошло на минус один,0.000000
train-00000-of-00232_000080,Danil,мы должны делимое умножить на число обратное делителю,мы должны делимое умножить на число обратное делителю,0.000000
train-00000-of-00232_000081,Danil,так что даже тем кто сдает огэ,так что даже тем кто сдает о,0.083333
train-00000-of-00232_000082,Danil,то есть два корня из икс равно трем,то есть два корня язык все равно три,0.214286
train-00000-of-00232_000083,Danil,итак во первых десятилетняя девочка,итак во первых десятилетняя девочка,0.000000
train-00000-of-00232_000084,Danil,тридцать первого декабря две тысячи шестнадцатого,тридцать первого декабря две тысячи шестнадцать,0.068182
train-00000-of-00232_000085,Danil,четырехтонных имеется в виду,тонных нается в виду,0.400000
train-00000-of-00232_000086,Danil,свое движение раньше на семь часов тридцать минут,свое движение раньше на семь часов тридцать минут,0.000000
train-00000-of-00232_000087,Danil,таким образом время туда это путь,таким образом время туда это путь,0.000000
train-00000-of-00232_000088,Danil,здесь синус и здесь тогда не ту формулу надо было выбирать у меня вот этот косинус я тут сверху,здесь синус и здесь тогда не ту формулу надо было выбирать у меня вот этот косинус я тут сверху,0.000000
train-00000-of-00232_000089,Danil,и значит длина отрезка ас это и есть расстояние от данной точки до прямой вс,и значит длина треска с это и есть расстояние от данной точки до прямой вс,0.048387
train-00000-of-00232_000090,Danil,от перемены они не зависят,а в переменной они не зависят,0.227273
train-00000-of-00232_000091,Danil,с каких задач второй части начинать готовиться,какие задачи второй части начинать готовиться посмотри,0.275000
train-00000-of-00232_000092,Danil,а снимать чтобы заодно и стрим провести и поснимать что то,а снимать за одно,0.708333
train-00000-of-00232_000093,Danil,мы будем делить числитель на знаменатель до третьего знака,мы будем делить числитель на знаменатель до третьего знака,0.000000
train-00000-of-00232_000094,Danil,домножим его на два чтобы из вас будет а в четыре у равно девяти,давно же мы его на два чтобы из вас будет четыре равно девять,0.156863
train-00000-of-00232_000095,Danil,пересекает продолжение ц д за точку д в точке н,пересекает продолжение за точку точки,0.157895
train-00000-of-00232_000096,Danil,то есть цели в градусах уже редко будут навстречаться углой,то есть или в градус углы,0.640000
train-00000-of-00232_000097,Danil,так ну если здесь,так ну если здесь,0.000000
train-00000-of-00232_000098,Danil,а и один делить на а,и один а,0.600000
train-00000-of-00232_000099,Danil,четыре седьмых умножить на двадцать один,четыре семь умножить на двадцать,0.228571
